City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
413,Boda,CF,4.3189,17.4695,71.29,92,8,3.58,Clear
414,Nargana,PA,9.4428,-78.5906,80.44,84,85,8.68,Rain
415,Xai-Xai,MZ,-25.0519,33.6442,72.95,86,9,11.52,Clear
416,Constitucion,CL,-35.3333,-72.4167,54.86,97,100,21.54,Rain
417,Uirauna,BR,-6.5183,-38.4122,91.26,22,0,8.34,Clear
418,Muli,MV,2.9167,73.5667,81.01,80,89,12.39,Clouds
419,Naberera,TZ,-4.2,36.9333,66.18,84,100,9.22,Rain
420,Bonthe,SL,7.5264,-12.505,79.83,82,7,3.58,Clear
421,Gualeguay,AR,-33.1416,-59.3097,81.59,55,0,4.45,Clear
422,Sisimiut,GL,66.9395,-53.6735,23.68,78,99,12.71,Clouds
423,Manbij,SY,36.5281,37.9549,72.5,39,0,3.53,Clear
424,Taywarah,AF,33.35,64.4167,43.72,49,3,1.16,Clear
425,Chama,CH,47.1821,8.4636,52.07,78,20,0.0,Clouds
426,Dundee,GB,56.5,-2.9667,50.59,92,51,13.85,Clouds
427,Boa Viagem,BR,-5.1275,-39.7322,89.67,23,1,4.52,Clear
428,Visegrad,BA,43.7847,19.2992,52.36,92,11,2.55,Clouds
429,Geraldton,AU,-28.7667,114.6,55.81,82,0,11.5,Clear
430,Alekseyevka,RU,50.6309,38.6903,46.09,82,100,29.19,Clouds
431,Krasnoyarka,RU,55.3333,73.1167,21.15,79,98,7.36,Clouds
432,Camacha,PT,33.0833,-16.3333,67.42,73,40,8.05,Clouds
433,Mitu,CO,1.1983,-70.1733,89.02,58,100,3.13,Clouds
434,Sal Rei,CV,16.1833,-22.9167,78.67,75,100,14.2,Clouds
435,Maicao,CO,11.3832,-72.2432,82.63,77,97,10.25,Clouds
436,Antofagasta,CL,-23.65,-70.4,63.68,72,9,7.76,Clear
437,Pacatuba,BR,-3.9842,-38.6203,83.32,72,4,7.49,Clear
438,Albion,US,42.2431,-84.753,54.41,56,0,3.44,Clear
439,Chynadiyovo,UA,48.4818,22.8217,49.23,97,38,3.69,Clouds
440,Takaungu,KE,-3.6837,39.8566,78.42,88,95,7.85,Clouds
441,Dolny Kubin,SK,49.2098,19.3034,46.56,93,96,4.32,Clouds
442,Hobyo,SO,5.3505,48.5268,81.01,78,100,10.94,Rain
443,Lebu,CL,-37.6167,-73.65,50.04,83,91,17.11,Clouds
444,Ust-Tsilma,RU,65.441,52.1498,15.62,92,100,7.0,Clouds
445,Abu Samrah,SY,35.3029,37.1841,75.54,33,0,4.27,Clear
446,Alnavar,IN,15.4333,74.7333,73.98,60,89,0.6,Clouds
447,Narsaq,GL,60.9167,-46.05,31.12,85,38,4.76,Clouds
448,Vallenar,CL,-28.5708,-70.7581,65.59,32,6,9.42,Clear
449,Misratah,LY,32.3754,15.0925,75.47,69,2,8.34,Clear
450,Chornukhy,UA,50.2673,32.942,48.69,78,98,16.75,Clouds
451,Lima,PE,-12.0432,-77.0282,71.85,60,0,12.66,Clear
452,Tingi,TZ,-11.3,35.0333,72.16,49,41,7.2,Clouds
453,La Florida,CO,1.2985,-77.4061,61.47,77,100,4.61,Rain
454,Lisakovsk,KZ,52.5369,62.4936,32.09,99,100,5.66,Clouds
455,Mariestad,SE,58.7097,13.8237,36.07,83,59,6.6,Clouds
456,Gazojak,TM,41.1875,61.4036,67.5,35,3,7.76,Clear
457,Pio Xii,BR,-3.8325,-45.1525,94.33,32,26,6.58,Clouds
458,Puerto Ayora,EC,-0.7393,-90.3518,85.96,86,67,11.01,Clouds
459,Westport,US,41.1415,-73.3579,81.18,61,7,1.99,Clear
460,Mocuba,MZ,-16.8392,36.9856,76.78,72,0,3.58,Clear
461,Nieuw Amsterdam,SR,5.8833,-55.0833,96.96,65,20,6.91,Clouds
462,Okakarara,NA,-20.5833,17.4333,72.5,14,53,8.84,Clouds
463,Port-Gentil,GA,-0.7193,8.7815,79.68,84,5,7.2,Clear
464,Yanam,IN,16.7333,82.2167,79.27,75,97,3.74,Clouds
465,Hofn,IS,64.2539,-15.2082,38.93,73,45,13.38,Clouds
466,Almeria,ES,37.1667,-2.3333,53.44,58,0,3.53,Clear
467,Butembo,CD,0.15,29.2833,58.24,97,100,1.9,Clouds
468,Navoi,UZ,40.0844,65.3792,58.48,63,52,9.22,Smoke
469,Dunnville,CA,42.9001,-79.6163,54.45,70,3,5.01,Clear
470,Effingham,US,32.3669,-81.3332,84.65,44,0,2.33,Clear
471,Pedernales,DO,18.0384,-71.744,83.3,72,33,5.12,Rain
472,Warmbad,NA,-28.45,18.7333,64.6,19,0,11.95,Clear
473,Sladkovo,RU,55.5284,70.3385,23.27,79,100,9.46,Clouds
474,Jardim,BR,-21.4803,-56.1381,93.38,38,84,12.53,Clouds
475,Oranjemund,NA,-28.55,16.4333,58.86,80,0,22.17,Clear
476,Praia,CV,14.9215,-23.5087,79.34,73,20,14.97,Clouds
477,Quatre Cocos,MU,-20.2078,57.7625,74.08,79,3,4.25,Clear
478,Santa Rosa,PH,14.3122,121.1114,81.95,84,36,6.51,Clouds
479,Guarapuava,BR,-25.3953,-51.4581,67.64,98,100,0.2,Rain
480,Ust-Koksa,RU,50.2696,85.6108,27.23,50,91,1.99,Clouds
481,Rawson,AR,-43.3002,-65.1023,59.29,51,20,23.02,Clouds
482,Domoni,KM,-12.2569,44.5319,78.12,86,1,6.62,Clear
483,Gat,IL,31.61,34.7642,84.4,55,81,2.89,Clouds
484,Kilindoni,TZ,-7.9139,39.6668,79.5,82,88,11.97,Clouds
485,Nisia Floresta,BR,-6.0911,-35.2086,82.78,75,12,12.55,Clouds
486,Kidal,ML,18.4411,1.4078,85.21,10,41,7.49,Clouds
487,Valle De San Juan,CO,4.1987,-75.1173,82.58,69,100,2.71,Rain
488,Biscarrosse,FR,44.3945,-1.1672,66.15,59,0,19.57,Rain
489,La Carolina,ES,38.2756,-3.6153,55.35,74,4,3.62,Clear
490,Marabba,SD,12.35,32.1833,76.73,76,54,11.05,Clouds
491,Araouane,ML,18.9048,-3.5265,83.5,13,0,0.96,Clear
492,Biltine,TD,14.5333,20.9167,86.43,17,2,7.2,Clear
493,Nuristan,AF,35.3,70.8333,32.61,48,93,6.62,Clouds
494,Bud,US,39.447,-86.1758,56.19,78,100,4.09,Clouds
495,Sokoto,NG,13.0609,5.239,83.66,15,19,9.24,Clouds
496,Gangarampur,IN,25.4,88.5167,68.41,64,0,3.31,Clear
497,Port Hawkesbury,CA,45.6169,-61.3485,71.55,83,3,1.01,Clear
498,Leirvik,NO,59.7798,5.5005,41.63,57,7,9.8,Clear
499,Obzor,BG,42.8167,27.8833,66.74,79,100,8.57,Clouds
500,Watsa,CD,3.0372,29.5355,65.79,97,99,0.29,Clouds
501,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,87,75,26.46,Drizzle
502,Kagoro,NG,9.6,8.3833,72.9,70,4,1.28,Clear
503,Grand Gaube,MU,-20.0064,57.6608,74.37,77,6,1.99,Clear
504,Saint Anthony,US,45.0205,-93.218,33.84,69,100,6.91,Clouds
505,Puerto Cabezas,NI,14.0351,-83.3888,87.76,79,75,11.5,Clouds
506,Mushie,CD,-3.0167,16.9,75.18,88,62,1.48,Clouds
507,Sept-Iles,CA,50.2001,-66.3821,51.8,67,40,20.0,Clouds
508,Sidi Ali,DZ,36.0998,0.4206,65.19,71,57,10.11,Clouds
509,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,67,40,15.55,Clouds
510,Straumen,NO,63.8709,11.2999,21.2,65,13,2.04,Clouds
511,Querfurt,DE,51.3833,11.6,52.72,93,56,8.28,Clouds
512,Bentiu,SS,9.2333,29.8333,71.87,86,100,2.15,Clouds
513,Nushki,PK,29.5542,66.0215,68.34,38,6,6.13,Clear
514,Karia,NG,11.7306,11.1629,79.38,19,84,8.34,Clouds
515,Skjervoy,NO,70.0311,20.9714,21.2,72,100,8.23,Clouds
516,Menongue,AO,-14.6585,17.691,65.97,82,95,5.86,Clouds
517,Angoche,MZ,-16.2325,39.9086,77.36,84,20,5.59,Clouds
518,Linhares,BR,-19.3911,-40.0722,78.69,69,100,9.89,Clouds
519,Loksa,EE,59.5764,25.7214,33.93,67,100,10.29,Clouds
520,Kommunisticheskiy,RU,61.6789,64.4819,20.12,59,10,3.6,Clear
521,Kibala,TD,9.1104,18.3463,80.55,74,0,4.61,Clear
522,Mangulile,HN,15.0667,-86.8,81.09,69,39,5.21,Clouds
523,Toktogul,KG,41.8708,72.9402,54.84,70,100,3.6,Rain
524,Kathmandu,NP,27.7167,85.3167,57.83,83,40,1.01,Clouds
525,Ullapool,GB,57.8987,-5.1604,49.3,85,100,20.42,Clouds
526,Yarensk,RU,62.1675,49.0916,23.36,84,99,8.39,Clouds
527,Natitingou,BJ,10.3042,1.3796,79.38,51,0,3.74,Clear
528,Casablanca,MA,33.5928,-7.6192,66.42,65,87,3.87,Clouds
529,Bama,NG,11.5221,13.6856,82.67,19,61,7.9,Clouds
530,Sivas,TR,39.7916,37.0019,55.36,48,56,2.95,Clouds
531,Bulawayo,ZW,-20.15,28.5833,75.7,19,4,6.89,Clear
532,Kedrovyy,RU,56.1667,91.8167,20.03,91,99,8.08,Clouds
533,Ust-Kulom,RU,61.6864,53.6902,19.15,90,73,8.43,Clouds
534,Mutoko,ZW,-17.397,32.2268,74.95,40,0,9.73,Clear
535,Chhabra,IN,24.6667,76.8333,71.78,38,100,5.64,Clouds
536,Uige,AO,-7.6087,15.0613,69.71,83,49,3.96,Clouds
537,La Palma,US,33.8464,-118.0467,78.94,68,0,11.5,Clear
538,San Rafael,AR,-34.6177,-68.3301,84.79,12,20,17.27,Clouds
539,Thinadhoo,MV,0.5333,72.9333,81.23,81,42,18.28,Clouds
540,Sakakah,SA,29.9697,40.2064,76.57,64,100,13.29,Clouds
541,Phalodi,IN,27.1333,72.3667,82.13,26,56,8.08,Clouds
542,La Rioja,ES,42.25,-2.5,55.18,64,100,11.23,Clouds
543,Alto Piquiri,BR,-24.0281,-53.4406,85.37,57,100,8.23,Clouds
544,Maldonado,UY,-34.6667,-54.9167,78.19,57,94,5.48,Clouds
545,Neftcala,AZ,39.3742,49.2472,69.91,53,43,8.16,Clouds
546,Venado Tuerto,AR,-33.7456,-61.9688,82.96,42,0,8.97,Clear
547,Montepuez,MZ,-13.1256,38.9997,74.08,73,28,9.17,Clouds
548,Noyabrsk,RU,63.1994,75.4507,14.23,83,95,15.01,Clouds
549,Polonnaruwa,LK,7.9333,81.0,75.27,92,97,1.23,Clouds
550,Chateauroux,FR,46.8167,1.7,60.8,67,0,12.66,Clear
551,Carutapera,BR,-1.195,-46.02,82.53,82,29,24.25,Clouds
552,Warri,NG,5.5167,5.75,77.65,91,99,3.78,Clouds
