City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,General Pico,AR,80.94,Clouds,-35.6566,-63.7568,Euskadi Hotel
586,Reoti,IN,70.9,Clouds,25.85,84.3833,Banti And Sans Koila Store
587,Natal,BR,82.62,Clouds,-5.795,-35.2094,Villa Park Hotel | Natal
589,Houma,US,84.2,Clouds,29.5958,-90.7195,Courtyard by Marriott Houma
590,Altea,ES,69.78,Clear,38.5989,-0.0514,Albir Playa Hotel & Spa
591,Paracuru,BR,82.11,Clear,-3.41,-39.0306,Hotel Vento Brasil
592,Cayon,KN,81.64,Clouds,17.35,-62.7333,Ottley's Plantation Inn
593,Kananga,CD,70.36,Rain,-5.8958,22.4178,Guest House Wood Land
594,Barcelos,PT,62.74,Rain,41.5388,-8.6151,Hotel Restaurante Bagoeira
596,Arrecife,ES,71.58,Clouds,28.963,-13.5477,Hotel Lancelot
600,Kangaatsiaq,GL,23.95,Clouds,68.3065,-53.4641,Nukissiorfiit
601,Hofgeismar,DE,53.11,Clouds,51.4833,9.4,Zum Alten Brauhaus
602,Bonoua,CI,82.02,Clear,5.2741,-3.595,Hotel Bon Samaritian
603,Bubaque,GW,82.0,Clouds,11.2833,-15.8333,Ponta Anchaca
604,General Roca,AR,73.62,Clouds,-39.0333,-67.5833,Hotel El Recreo
606,Salair,RU,18.79,Clouds,54.2312,85.7972,Гостевой Дом на Заречной
607,San Francisco,US,71.33,Clear,37.7749,-122.4194,Edwardian Hotel
608,Maxixe,MZ,70.77,Clouds,-23.8597,35.3472,Oceano
609,Rio Bananal,BR,78.66,Clouds,-19.265,-40.3333,Rancho Arizona
610,Elektrogorsk,RU,32.2,Snow,55.8794,38.7919,"""Flagman"" Otel'"
611,Malanje,AO,65.34,Clouds,-9.5402,16.341,Hotel Ginga
613,Hammerfest,NO,32.45,Clouds,70.6634,23.6821,Skytterhuset
614,Rabo De Peixe,PT,62.98,Clouds,37.8,-25.5833,Quinta das Giestas
615,Malino,PH,80.02,Clouds,15.1257,120.6727,Mula 1522 Private Resort
616,Arona,ES,70.83,Clouds,28.0996,-16.681,Paradise Court
617,Sarankhola,BD,69.01,Clear,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
618,Marovoay,MG,78.51,Rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
621,Kirkwall,GB,46.96,Clouds,58.9848,-2.9587,Kirkwall Hotel
622,Chambas,CU,80.98,Clouds,22.1928,-78.9136,Hotel Colón
623,Alexandria,EG,70.34,Clouds,31.2156,29.9553,فندق قاعود
624,Puerto Gaitan,CO,89.26,Rain,4.3133,-72.0816,Brisas del Yucao
625,Roald,NO,38.75,Clear,62.5833,6.1333,Flyplasservice AS
626,Pinehurst,US,84.02,Clear,35.1954,-79.4695,SpringHill Suites by Marriott Pinehurst Southern Pines
627,La Asuncion,VE,83.82,Rain,11.0333,-63.8628,Colinas de Matasiete
628,Howick,ZA,50.32,Rain,-29.4779,30.2306,Skyblu
629,El Alto,PE,76.66,Clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
630,Moose Factory,CA,30.2,Clouds,51.2585,-80.6094,Moosonee Lilypad
631,Puerto Madryn,AR,66.65,Clouds,-42.7692,-65.0385,Hotel Tolosa
632,Uyuni,BO,59.74,Clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
633,Kargat,RU,23.25,Clear,55.1956,80.2811,Kargat
634,Ajdabiya,LY,72.46,Clouds,30.7554,20.2263,شركة الطيران الذهبي
635,Carnoustie,GB,51.89,Clouds,56.5014,-2.7091,Carnoustie Golf Hotel & Spa
636,Romitan,UZ,60.75,Clear,39.9343,64.3814,Romitan
